city,lat,temp,humidity,clouds,wind,lon
georgetown,11.0167,81.34,60.0,100.0,10.04,29.7167
puerto ayora,-30.1811,68.0,65.0,86.0,11.74,-50.2056
busselton,69.4541,14.0,73.0,90.0,10.36,-133.0374
beringovskiy,43.5167,55.87,100.0,20.0,1.14,-8.1528
kaduqli,-33.6971,63.48,71.0,95.0,12.59,-53.4616
cidreira,27.9769,65.97,60.0,99.0,16.67,-114.0611
tuktoyaktuk,-54.8,50.0,71.0,75.0,24.16,-68.3
naron,72.7868,34.34,77.0,34.0,5.41,-56.1549
chuy,71.2906,21.2,86.0,1.0,21.85,-156.7887
guerrero negro,42.8666,67.19,20.0,90.0,21.85,-106.3131
ushuaia,51.226,41.95,65.0,81.0,2.62,-58.6502
upernavik,22.0752,77.61,65.0,40.0,12.66,-159.319
barrow,-28.55,62.37,87.0,100.0,3.83,16.4333
casper,67.45,20.17,77.0,18.0,7.65,153.6833
saint-augustin,65.5833,31.32,88.0,83.0,1.25,-171.0
kapaa,1.7427,75.92,82.0,66.0,3.0,98.7792
oranjemund,-11.0964,67.73,84.0,21.0,7.81,-77.6139
srednekolymsk,-0.9,80.6,74.0,40.0,14.97,-89.6
lavrentiya,-34.4187,62.01,91.0,98.0,1.99,19.2345
sibolga,56.194,34.83,90.0,98.0,4.32,86.6414
hualmay,-11.3847,80.6,76.0,99.0,7.34,43.2844
puerto baquerizo moreno,42.6001,54.63,50.0,78.0,1.01,-73.9662
hermanus,-21.2,80.6,83.0,75.0,6.91,-175.2
izhmorskiy,14.8961,72.54,71.0,81.0,10.92,-24.4956
mitsamiouli,-33.5906,70.56,58.0,100.0,12.08,26.891
albany,4.95,68.92,99.0,100.0,2.37,23.9167
vaini,-28.783,64.89,92.0,7.0,3.65,32.0377
sao filipe,-9.8756,73.45,93.0,85.0,3.2,-56.0861
port alfred,73.5069,17.08,94.0,100.0,11.79,80.5464
rafai,-3.6954,77.0,88.0,40.0,9.22,128.1814
richards bay,-2.8856,78.12,78.0,11.0,9.93,-40.12
alta floresta,71.9667,5.02,94.0,72.0,11.32,102.5
dikson,-9.4431,78.48,83.0,99.0,8.95,147.1797
ambon,17.8815,78.24,83.0,40.0,10.36,-76.4093
acarau,37.7167,59.0,77.0,75.0,10.36,-25.4333
khatanga,62.5333,13.05,78.0,99.0,1.39,155.8
port moresby,-20.3297,78.8,83.0,20.0,6.91,-40.2925
morant bay,-42.7826,56.01,74.0,98.0,3.0,147.0587
vila franca do campo,-5.1989,78.8,83.0,20.0,6.91,-35.4608
omsukchan,42.25,57.97,67.0,0.0,5.75,-2.5
vila velha,-46.6,46.99,87.0,78.0,7.0,168.3333
new norfolk,-8.4667,77.63,84.0,100.0,7.67,140.3333
mys shmidta,48.7555,46.65,28.0,73.0,5.17,-91.6216
kadykchan,7.9986,77.0,89.0,100.0,4.0,124.2928
touros,-10.0681,68.97,82.0,12.0,8.55,-78.1522
la rioja,41.1702,41.9,52.0,77.0,2.21,75.8106
bluff,43.1592,51.4,87.0,90.0,6.71,40.3378
merauke,48.0056,27.18,30.0,17.0,2.98,91.6419
atikokan,-7.4469,78.24,72.0,89.0,3.29,-41.4783
marawi,44.6453,44.78,87.0,100.0,8.05,-63.5724
huarmey,-7.9386,75.4,85.0,48.0,3.67,110.2506
at-bashi,59.7035,37.13,87.0,90.0,11.18,30.7861
belushya guba,-3.8004,75.16,89.0,70.0,4.29,102.2655
grand river south east,-7.9139,79.29,80.0,95.0,10.87,39.6668
pitsunda,-38.0023,61.21,72.0,40.0,6.91,-57.5575
hovd,46.5478,47.57,54.0,82.0,8.05,14.0572
itainopolis,-33.918,59.0,88.0,0.0,8.05,25.5701
halifax,63.7256,33.8,93.0,75.0,3.44,8.834
srandakan,40.9965,44.65,61.0,0.0,14.97,15.6514
nikolskoye,57.79,42.8,75.0,90.0,10.36,-152.4072
bengkulu,38.5167,59.85,83.0,100.0,11.97,-28.7
kilindoni,57.0531,57.2,41.0,20.0,3.44,-135.33
mar del plata,6.5333,80.71,72.0,58.0,1.79,124.0333
sankt jakob,-21.2078,82.4,78.0,40.0,12.66,-159.775
port elizabeth,49.9811,25.47,44.0,1.0,8.21,92.0667
sistranda,-12.7336,78.8,89.0,0.0,3.44,45.2042
melfi,47.6666,44.96,49.0,20.0,14.97,-52.7314
kodiak,69.7008,21.51,88.0,100.0,10.76,170.3133
ribeira grande,34.1667,30.13,37.0,4.0,2.66,77.5833
sitka,-7.95,75.24,85.0,44.0,3.89,110.2833
bantogon,-4.2714,70.61,76.0,47.0,12.26,-81.2147
avarua,-19.55,80.6,83.0,75.0,5.75,169.2667
ulaangom,41.1415,57.51,55.0,1.0,6.91,-73.3579
koungou,18.4167,79.63,69.0,40.0,10.36,-64.6167
saleaula,-24.8667,59.0,72.0,0.0,8.05,113.6333
torbay,-46.2817,54.0,49.0,72.0,8.01,169.8464
pevek,68.3499,17.6,79.0,100.0,8.05,-133.7218
leh,65.9939,38.37,88.0,100.0,8.95,57.5281
bambanglipuro,-9.8,80.06,73.0,48.0,15.01,-139.0333
el alto,-38.2667,58.37,71.0,100.0,5.21,141.9667
taolanaro,-46.1927,46.99,87.0,71.0,7.0,168.8643
isangel,63.7506,33.4,86.0,75.0,3.44,-68.5145
westport,13.2167,82.4,78.0,40.0,2.3,80.3167
road town,54.5153,29.5,86.0,16.0,7.67,30.4053
carnarvon,-16.4833,80.96,64.0,26.0,3.29,-151.75
kaitangata,13.2167,78.8,61.0,20.0,14.97,-59.5167
inuvik,-34.0033,69.21,43.0,100.0,6.22,24.7314
usinsk,-8.4192,65.32,93.0,100.0,1.54,20.7447
warqla,34.1356,77.14,19.0,1.0,18.41,-116.0542
atuona,70.6634,32.0,93.0,75.0,8.05,23.6821
codrington,-23.7,57.2,47.0,0.0,1.14,133.8833
mataura,-17.6203,71.37,62.0,95.0,7.47,27.3414
iqaluit,66.7697,32.4,99.0,100.0,9.15,123.3711
kattivakkam,4.1213,75.25,80.0,96.0,10.76,43.8894
orsha,61.994,36.64,95.0,100.0,6.38,-49.6678
faanui,5.9485,76.84,89.0,20.0,3.27,80.5353
bathsheba,56.3683,32.74,86.0,0.0,3.11,85.1447
kruisfontein,57.0436,33.15,84.0,100.0,8.84,34.9622
lucapa,48.8735,34.02,68.0,20.0,5.3,21.8367
aflu,-40.8135,57.47,63.0,10.0,8.99,-62.9967
twentynine palms,34.9833,51.8,37.0,20.0,17.27,139.8667
hammerfest,-0.9492,77.29,84.0,80.0,3.42,100.3543
alice springs,64.75,24.8,100.0,90.0,2.24,177.4833
binga,49.7834,32.0,100.0,90.0,9.22,-74.8492
zhigansk,21.7786,80.38,76.0,95.0,9.86,87.7536
xuddur,64.2539,44.37,83.0,100.0,12.06,-15.2082
paamiut,-10.8218,81.86,60.0,82.0,5.3,-42.7263
matara,36.6167,37.65,88.0,12.0,3.18,101.7667
viligili,-0.7193,82.08,79.0,0.0,11.45,8.7815
bogashevo,18.3851,61.66,72.0,40.0,9.06,42.4509
torzhok,11.2833,78.15,70.0,27.0,23.17,-15.8333
strazske,42.097,40.73,65.0,90.0,16.11,-79.2353
viedma,-24.7911,58.21,92.0,75.0,3.89,-50.0119
tateyama,-18.0056,66.2,68.0,0.0,5.75,-70.2483
padang,43.3236,33.31,60.0,16.0,18.63,145.575
anadyr,9.1769,78.89,87.0,55.0,3.11,105.15
chapais,-7.3333,81.5,74.0,77.0,2.39,-75.0167
contai,40.5982,54.21,71.0,90.0,8.05,-124.1573
louisbourg,71.6872,26.67,95.0,100.0,4.41,128.8694
sentyabrskiy,45.0205,42.33,52.0,90.0,12.66,-93.218
hofn,64.5635,41.0,100.0,75.0,6.71,39.8302
xique-xique,35.0339,58.35,71.0,29.0,22.5,25.9469
xining,32.3502,73.99,43.0,1.0,8.05,-85.1999
port-gentil,51.8,46.22,86.0,81.0,10.71,68.3333
faya,-34.5833,61.27,87.0,7.0,1.01,150.8552
bubaque,-20.3167,62.6,63.0,0.0,9.22,118.5667
jamestown,31.8111,64.72,63.0,30.0,8.68,121.655
castro,-20.7377,75.65,49.0,0.0,7.87,116.8463
tacna,29.0331,64.33,56.0,0.0,11.1,21.5482
nemuro,67.667,37.51,59.0,86.0,8.37,12.6934
ca mau,32.6667,55.87,86.0,59.0,7.0,-17.1
contamana,45.4375,48.0,82.0,100.0,9.44,40.5756
fortuna,53.6039,32.0,74.0,0.0,4.47,91.3903
tiksi,62.456,8.31,72.0,90.0,13.8,-114.3525
saint anthony,-41.8697,51.49,94.0,75.0,2.3,-73.8203
severodvinsk,60.4667,30.54,94.0,99.0,5.23,166.1
koutsouras,8.2,75.07,85.0,94.0,5.03,-59.7833
russell,-33.9258,60.17,88.0,75.0,6.91,18.4232
atbasar,36.2083,73.08,11.0,100.0,13.0,-115.9839
flinders,-8.103,84.52,68.0,25.0,2.82,156.8419
port hedland,-21.2167,71.49,92.0,94.0,5.48,48.3333
huilong,14.8,80.56,74.0,93.0,4.76,74.1333
karratha,-45.4167,46.51,93.0,100.0,7.87,167.7167
jalu,-22.116,61.0,92.0,14.0,3.44,14.2845
sorland,57.716,35.85,79.0,3.0,8.81,60.6484
ponta do sol,-37.6167,55.8,90.0,0.0,10.47,-73.65
kropotkin,46.4856,39.02,30.0,9.0,3.6,135.8833
belyy yar,61.75,39.2,93.0,90.0,6.71,50.9167
yellowknife,-32.5943,51.8,100.0,90.0,9.22,149.5871
ancud,-33.0153,67.84,64.0,100.0,9.64,27.9116
tilichiki,26.1247,69.57,68.0,20.0,8.05,127.6694
mabaruma,9.25,79.7,63.0,86.0,3.78,0.7833
cape town,-42.8794,59.41,51.0,75.0,16.11,147.3294
pahrump,-43.3002,61.57,57.0,83.0,22.41,-65.1023
gizo,67.4667,11.8,94.0,62.0,8.79,78.7
mananjary,-21.1353,68.88,95.0,94.0,5.06,-55.83
karwar,-20.1833,67.21,27.0,4.0,2.98,25.2333
te anau,-26.3667,61.5,58.0,0.0,4.18,-70.05
henties bay,77.484,28.9,72.0,14.0,7.14,-69.3632
petrokamenskoye,-20.4081,77.0,88.0,75.0,14.97,57.7
lebu,2.1006,77.0,94.0,20.0,2.3,102.7994
marcona,47.3561,50.92,76.0,100.0,3.44,-68.3288
vostok,-29.6842,64.4,68.0,40.0,2.3,-53.8069
sedkyrkeshch,-0.6,82.15,69.0,79.0,4.29,73.0833
mudgee,4.375,78.51,84.0,100.0,1.97,-7.7169
barentsburg,52.4201,37.56,34.0,29.0,5.61,136.4853
east london,-35.1,66.0,78.0,82.0,3.0,173.7833
itoman,-31.6529,56.93,76.0,0.0,4.61,-64.4283
bassar,45.1667,58.01,67.0,100.0,4.0,10.7833
hobart,21.95,72.63,91.0,100.0,7.23,108.6167
rawson,37.1041,79.9,11.0,1.0,27.63,-113.5841
tazovskiy,9.65,72.41,73.0,93.0,4.68,-9.7833
nioaque,41.7911,64.22,17.0,1.0,26.46,-107.2387
gweta,18.4726,75.2,78.0,75.0,3.44,120.5763
diego de almagro,41.7597,47.41,25.0,23.0,4.43,86.1469
qaanaaq,32.5341,59.74,89.0,15.0,7.78,20.5791
mahebourg,-15.9486,77.52,44.0,1.0,2.89,-44.8644
singkang,-35.6167,66.0,78.0,44.0,3.0,174.5
madawaska,22.6783,90.79,13.0,4.0,10.51,-3.9836
santa maria,8.4596,71.38,84.0,100.0,5.08,25.678
hithadhoo,54.3121,29.86,85.0,10.0,7.94,34.521
harper,30.6744,81.97,50.0,1.0,9.22,-96.37
imeni poliny osipenko,50.2001,42.84,39.0,75.0,9.22,-66.3821
kaeo,10.9995,79.39,78.0,38.0,3.4,122.6711
alta gracia,53.3097,39.0,40.0,18.0,10.58,45.0407
mantua,-28.65,61.52,94.0,90.0,6.91,153.6167
qinzhou,65.9667,23.47,93.0,100.0,8.55,78.3667
saint george,-14.2667,73.33,87.0,89.0,7.83,50.1667
tokonou,64.8378,59.2,30.0,1.0,1.07,-147.7164
rawlins,-7.2294,77.36,86.0,100.0,1.16,-44.5561
galgani,50.0163,51.4,76.0,75.0,9.22,-125.2446
fort saint john,37.3917,61.92,16.0,50.0,3.27,46.2398
davila,18.0333,80.37,84.0,53.0,2.55,73.0167
korla,-17.0231,66.83,83.0,48.0,6.76,-72.0147
tukrah,14.3122,80.55,78.0,75.0,3.44,121.1114
sao francisco,50.4668,40.33,75.0,100.0,4.61,-104.4178
ngunguru,66.1451,34.72,87.0,99.0,1.88,-65.7125
taoudenni,70.9963,32.0,93.0,75.0,8.05,24.6622
raga,52.6333,32.09,79.0,42.0,5.82,29.7333
baryatino,-8.1711,64.4,88.0,0.0,11.5,-79.0092
bryan,71.9167,15.06,93.0,100.0,22.86,114.0833
sept-iles,18.0333,81.0,40.0,5.0,1.99,78.2667
dingle,-29.9533,57.2,82.0,0.0,8.05,-71.3436
bessonovka,20.4487,75.78,71.0,92.0,21.23,121.9702
byron bay,54.7183,34.86,76.0,100.0,7.27,135.315
urengoy,3.761,75.2,100.0,40.0,5.75,98.4513
sambava,-2.5744,82.83,73.0,100.0,3.4,150.7967
fairbanks,-26.6481,62.22,86.0,95.0,2.04,15.1594
urucui,26.326,82.4,36.0,40.0,10.36,43.975
campbell river,71.0357,33.1,83.0,99.0,8.99,27.8492
maragheh,-34.7333,62.38,71.0,6.0,7.25,135.8667
srivardhan,46.4154,56.64,47.0,0.0,9.22,3.9054
mollendo,34.2576,73.15,33.0,1.0,9.22,-88.7034
santa rosa,-21.3585,70.99,73.0,0.0,19.57,55.7679
pilot butte,52.0428,33.33,65.0,46.0,3.36,33.9453
pangnirtung,11.0297,81.79,55.0,99.0,11.41,20.2827
havoysund,-17.0,74.7,94.0,90.0,10.36,145.4333
svetlogorsk,-37.8333,51.8,100.0,90.0,5.75,140.7667
moche,41.5284,40.03,60.0,1.0,12.66,-87.4237
amderma,-32.035,62.01,69.0,1.0,16.04,-52.0986
gorno-chuyskiy,-2.0226,83.26,71.0,69.0,4.63,147.2712
saskylakh,45.8208,48.09,81.0,100.0,8.95,44.6472
medak,18.7333,82.4,51.0,75.0,11.5,-103.6833
coquimbo,-3.1374,79.74,78.0,100.0,1.57,142.3475
basco,7.9803,82.54,76.0,71.0,7.9,49.8164
nizhneyansk,11.2361,82.29,56.0,87.0,10.69,4.9073
chumikan,-25.2406,60.8,44.0,0.0,11.5,130.9889
stabat,-28.4478,64.4,29.0,0.0,3.44,21.2561
kavieng,65.9811,39.9,84.0,100.0,13.73,60.3094
luderitz,35.7333,51.93,37.0,20.0,21.85,140.8333
buraydah,14.7328,95.07,13.0,54.0,5.66,-6.1219
mehamn,9.4942,82.69,70.0,84.0,5.75,50.8122
ruatoria,-0.75,75.88,94.0,49.0,5.12,-48.02
port lincoln,17.8868,77.81,73.0,48.0,7.99,-77.5902
saint-francois,-41.1456,53.58,71.0,39.0,4.63,-71.3082
tupelo,50.1186,45.73,81.0,77.0,22.77,-5.5371
saint-philippe,30.1897,77.0,44.0,1.0,3.44,-82.6393
shchelyayur,20.5022,82.56,20.0,33.0,11.74,-10.0711
druzhba,-2.6741,79.07,77.0,100.0,1.5,141.3028
am timan,52.1058,51.8,13.0,100.0,13.8,-101.2676
mareeba,70.3705,28.4,69.0,0.0,12.66,31.1107
mount gambier,9.4515,78.84,59.0,100.0,5.41,18.9449
griffith,50.0,17.65,67.0,16.0,0.81,88.6667
rio grande,65.7,15.69,91.0,23.0,5.68,82.4667
lorengau,66.845,30.0,100.0,95.0,12.73,32.3622
iki-burul,21.4612,78.8,73.0,40.0,11.5,-71.1419
coahuayana,-8.9266,60.35,72.0,22.0,1.83,125.4092
aitape,-35.5667,55.99,93.0,2.0,3.91,138.6167
eyl,20.4833,86.38,18.0,57.0,8.3,77.4833
duku,51.7075,45.27,70.0,20.0,5.75,-8.5306
yulara,33.0559,52.81,83.0,100.0,1.9,113.7978
upington,-35.3333,57.9,80.0,2.0,11.59,-72.4167
verkhnyaya inta,-45.5752,53.6,62.0,75.0,3.44,-72.0662
hasaki,-8.5785,80.6,94.0,40.0,3.44,13.6643
sokolo,59.7,21.58,64.0,23.0,4.34,150.1667
bandarbeyla,13.0667,78.8,61.0,20.0,14.97,-59.5333
sao caetano de odivelas,42.4109,51.4,82.0,100.0,6.71,47.693
bull savanna,60.34,31.69,90.0,84.0,9.46,102.2797
san carlos de bariloche,-31.95,51.8,71.0,0.0,7.16,141.4333
vaitupu,-7.9058,72.97,97.0,100.0,1.63,39.2105
penzance,-10.4,73.4,94.0,75.0,8.05,40.3333
halalo,63.4427,43.93,80.0,0.0,12.91,-20.2734
lake city,-21.6403,74.57,89.0,30.0,8.3,-41.0511
wulanhaote,25.2088,81.36,66.0,36.0,3.0,64.6357
adrar,-32.4075,55.99,70.0,0.0,1.01,-63.2402
vanimo,10.75,80.02,58.0,85.0,3.13,-11.1167
swan river,15.7568,75.69,85.0,70.0,1.95,121.5503
vardo,65.282,37.4,38.0,20.0,12.66,-126.8329
kyabe,47.1666,40.35,76.0,5.0,4.88,-55.1483
kosh-agach,40.5498,56.86,68.0,86.0,3.04,42.0013
krasnoselkup,-20.2078,76.48,88.0,75.0,14.97,57.7625
zelenoborskiy,-26.502,66.67,40.0,20.0,4.14,17.1583
cockburn town,64.5011,37.4,87.0,1.0,6.91,-165.4064
airai,22.5667,83.46,44.0,9.0,10.6,59.5289
victor harbor,55.3068,39.92,62.0,100.0,7.92,79.6802
karanja,-15.1961,77.59,65.0,0.0,8.34,12.1522
kinsale,50.6789,32.5,98.0,100.0,12.19,156.125
wencheng,4.1363,76.3,85.0,86.0,2.53,96.1285
constitucion,-34.6667,64.11,72.0,40.0,19.57,-54.9167
coihaique,-14.6585,66.06,48.0,83.0,2.42,17.691
caxito,50.1001,48.2,25.0,75.0,8.05,-91.917
arman,70.0167,29.53,94.0,99.0,6.31,135.6
samusu,29.9576,60.73,77.0,19.0,6.69,122.298
oistins,28.3667,75.2,60.0,75.0,11.5,129.4833
myurego,70.4692,21.2,100.0,75.0,27.63,-68.5914
vanavara,16.9833,80.64,79.0,33.0,2.35,73.3
garm,27.8964,59.4,65.0,81.0,4.05,102.2634
broken hill,2.1462,71.35,94.0,78.0,1.72,10.6164
mbumi,69.6496,32.0,93.0,75.0,5.75,18.957
madimba,62.55,11.12,78.0,99.0,2.33,155.55
vestmannaeyjar,60.7161,57.2,19.0,1.0,14.97,-135.0538
sao joao da barra,53.8667,41.0,52.0,0.0,11.18,50.2832
ormara,-14.8031,66.45,96.0,74.0,1.86,36.5372
villa maria,64.8945,40.17,89.0,37.0,14.97,-23.7142
dabola,-4.1997,72.52,94.0,55.0,3.38,12.6739
suclayin,-46.1333,46.99,87.0,91.0,8.99,167.6833
norman wells,-45.8667,55.4,76.0,0.0,1.14,-67.5
marystown,-22.9661,74.3,82.0,89.0,8.14,-42.0278
oltu,30.4833,63.21,62.0,59.0,17.05,-115.95
quatre cocos,20.7833,77.58,83.0,34.0,5.86,86.7667
bethanien,5.1801,76.69,84.0,100.0,3.2,97.1507
nome,43.0,59.07,30.0,76.0,9.78,68.0
sur,7.5264,82.09,77.0,63.0,3.04,-12.505
ubinskoye,-34.6534,63.07,87.0,95.0,6.29,-58.6198
namibe,27.2167,78.46,12.0,0.0,4.09,77.4833
severo-kurilsk,-14.5489,80.19,58.0,64.0,3.44,-49.9692
meulaboh,31.2089,61.68,84.0,0.0,7.29,16.5887
maldonado,57.7897,32.86,92.0,100.0,15.3,38.4545
menongue,12.25,80.6,78.0,20.0,1.14,109.1833
sioux lookout,0.6,84.2,79.0,75.0,6.91,-80.0333
ust-kuyga,23.6137,68.56,95.0,100.0,2.17,114.1919
shenjiamen,-7.8447,64.4,88.0,0.0,11.5,-79.1469
attawapiskat,40.7967,48.33,61.0,20.0,9.22,-81.5215
naze,-23.1322,66.99,87.0,80.0,3.42,-64.326
clyde river,-17.8786,72.5,93.0,32.0,3.98,36.8883
ratnagiri,63.8424,39.2,93.0,0.0,9.22,-22.4338
xichang,57.1951,36.82,80.0,87.0,14.67,56.9091
micomeseng,47.4272,44.6,29.0,90.0,11.5,-92.9377
tromso,61.2767,31.14,95.0,100.0,8.97,108.0108
dukat,38.421,60.62,55.0,90.0,14.97,-121.4238
whitehorse,-44.7,46.99,74.0,52.0,3.0,169.15
yelkhovka,64.3833,39.2,70.0,0.0,4.47,-173.3
cuamba,62.1444,33.33,98.0,100.0,5.21,117.6319
olafsvik,55.9539,33.3,79.0,90.0,11.63,40.8629
loubomo,68.0546,20.77,82.0,99.0,3.4,166.4372
tuatapere,37.4636,51.67,93.0,90.0,12.66,-122.4286
comodoro rivadavia,-41.0667,57.99,67.0,81.0,8.99,145.9167
arraial do cabo,36.25,68.45,46.0,65.0,7.61,37.5
babanusah,30.4159,62.6,82.0,40.0,4.47,103.4609
san quintin,43.8288,51.98,81.0,78.0,2.91,5.7869
chandbali,78.2186,15.8,67.0,20.0,8.05,15.6401
lhokseumawe,20.5169,79.54,18.0,0.0,3.49,-13.0499
turkistan,48.8333,49.32,81.0,98.0,4.61,-72.5321
bonthe,62.2266,44.6,100.0,100.0,11.5,-6.589
moron,65.8522,40.59,92.0,100.0,4.59,44.24
bharatpur,22.8909,82.33,24.0,90.0,8.05,-109.9124
crixas,-31.4333,62.89,80.0,7.0,5.73,152.9167
surt,-22.6667,74.5,69.0,79.0,14.67,167.4833
myshkin,45.1582,46.0,42.0,97.0,8.16,33.2787
nha trang,27.0377,71.42,23.0,0.0,10.25,14.4283
muisne,25.5198,74.41,29.0,2.0,1.03,90.2201
longhua,-32.25,55.4,62.0,0.0,9.22,148.6167
chicama,-35.1667,62.46,78.0,62.0,8.5,173.1667
massillon,40.8,74.71,35.0,1.0,17.27,-96.667
san ramon de la nueva oran,37.9333,59.34,76.0,90.0,9.22,-121.3011
quelimane,55.1001,37.4,44.0,75.0,13.8,-105.2842
grindavik,43.1748,54.27,74.0,72.0,5.3,5.6045
orda,-30.3833,65.3,64.0,4.0,10.36,153.1
kamenskoye,30.4383,76.87,44.0,1.0,6.91,-84.2807
hibbing,-28.7667,64.4,48.0,0.0,11.5,114.6
yerbogachen,37.2711,66.11,39.0,1.0,5.68,-87.1764
laguna,30.3823,55.35,33.0,0.0,0.13,67.7282
wanaka,-5.9475,69.87,88.0,99.0,2.75,29.1947
provideniya,44.251,57.88,31.0,75.0,4.61,-116.9693
suntar,61.67,24.26,87.0,32.0,5.03,96.37
sudogda,18.5333,86.0,84.0,40.0,6.91,73.1333
bilibino,47.0529,55.98,67.0,75.0,5.75,-122.2943
half moon bay,35.1333,52.14,37.0,20.0,17.27,140.3
burnie,43.5547,56.91,100.0,40.0,5.75,-5.9248
aleppo,60.9167,50.0,32.0,90.0,37.98,-46.05
linqiong,69.3833,26.01,83.0,100.0,0.65,178.4167
manosque,-6.2167,83.57,68.0,87.0,3.11,155.6333
longyearbyen,-32.7167,59.56,94.0,20.0,8.05,152.15
atar,40.2015,60.78,44.0,83.0,5.99,-77.1889
normandin,40.8021,54.61,71.0,94.0,8.01,-124.1637
klaksvik,13.2114,87.57,14.0,71.0,6.87,12.0241
mezen,36.5281,64.4,52.0,0.0,6.98,37.9549
cabo san lucas,34.6391,55.6,82.0,100.0,5.75,-120.4579
port macquarie,31.6864,55.13,88.0,95.0,5.57,113.4659
vao,68.75,15.48,85.0,97.0,5.5,161.3
zaozerne,57.6194,33.73,73.0,100.0,9.01,34.4099
xiongshi,48.6499,46.4,61.0,41.0,9.22,-53.1147
sabha,48.6501,49.06,93.0,90.0,3.44,-72.4491
tura,36.3167,43.3,39.0,5.0,3.0,138.2667
dubbo,21.2311,83.14,70.0,20.0,13.8,-86.731
ahipara,-35.7167,61.11,53.0,5.0,2.17,150.1833
lincoln,34.0389,60.73,94.0,40.0,8.68,-6.8166
san joaquin,28.2333,68.7,19.0,0.0,7.67,83.9833
la ronge,49.2,36.93,75.0,100.0,1.14,-113.3019
la ciotat,-33.0117,60.8,94.0,78.0,6.91,17.9442
sawtell,55.2104,30.22,82.0,10.0,9.06,34.2951
tallahassee,61.4681,33.73,96.0,100.0,2.93,128.9203
geraldton,8.9333,75.09,81.0,100.0,4.94,8.6
morehead,59.2353,32.76,96.0,100.0,2.48,163.0719
ziarat,17.9583,83.35,54.0,100.0,10.65,-102.2
kalemie,59.2187,37.44,96.0,100.0,9.71,39.8886
weiser,40.1629,56.57,91.0,98.0,3.0,-8.3327
baykit,44.1198,50.23,66.0,90.0,3.44,-70.1076
nagothana,30.1165,62.49,44.0,89.0,2.19,55.1186
graham,35.507,60.8,77.0,47.0,39.12,27.2132
katsuura,-2.1861,76.68,94.0,88.0,0.63,-56.7131
aviles,34.6401,73.54,36.0,100.0,3.49,50.8764
narsaq,49.8689,41.0,75.0,90.0,9.22,-99.3602
leningradskiy,43.801,39.2,38.0,0.0,2.24,87.6005
kieta,43.7501,35.6,69.0,31.0,19.57,-81.7165
nelson bay,-9.2,67.41,95.0,96.0,2.13,25.85
carlisle,4.8699,80.35,83.0,96.0,5.7,-2.2405
eureka,-31.6683,60.19,82.0,100.0,3.44,18.5012
maine-soroa,7.7669,86.0,62.0,40.0,8.05,-72.225
manbij,59.3833,20.97,63.0,0.0,10.42,143.3
lompoc,49.8425,39.11,65.0,0.0,4.47,36.5477
xihe,32.2994,63.95,80.0,6.0,23.35,-9.2372
cherskiy,-17.1717,67.5,81.0,19.0,5.59,-71.7931
krasnomayskiy,51.1537,38.5,80.0,66.0,2.75,37.8879
bonavista,12.0564,80.6,78.0,20.0,24.16,-61.7485
saint-felicien,68.0531,32.85,98.0,100.0,20.76,39.5131
maruko,52.6292,42.73,80.0,20.0,8.43,70.4169
isla mujeres,19.9711,80.49,76.0,42.0,6.33,-96.6114
